Run,RT,Male,Female,None,Pct
926,25,17,4,4,0.8095
927,29,21,4,4,0.8400
928,23,14,4,5,0.7778
929,20,8,7,5,0.5333
930,23,14,5,4,0.7368
931,31,21,6,4,0.7778
932,27,11,8,8,0.5789
933,31,12,9,10,0.5714
934,25,18,4,3,0.8182
935,16,9,3,4,0.7500
936,19,9,6,4,0.6000
937,22,15,2,5,0.8824
938,16,7,7,2,0.5000
939,26,14,8,4,0.6364
940,24,15,4,5,0.7895
941,25,15,7,3,0.6818
942,29,18,6,5,0.7500
943,17,12,4,1,0.7500
944,27,12,6,9,0.6667
945,30,16,7,7,0.6957
946,18,13,4,1,0.7647
947,25,11,8,6,0.5789
948,33,21,5,7,0.8077
949,29,18,7,4,0.7200
950,25,20,3,2,0.8696
951,23,13,8,2,0.6190
952,27,12,11,4,0.5217
953,28,19,4,5,0.8261
954,21,14,3,4,0.8235
955,25,15,8,2,0.6522
956,29,24,3,2,0.8889
957,25,11,10,4,0.5238
958,27,16,6,5,0.7273
959,26,19,4,3,0.8261
960,25,13,7,5,0.6500
961,29,19,7,3,0.7308
962,24,12,5,7,0.7059
963,31,11,12,8,0.4783
964,30,20,7,3,0.7407
965,23,14,4,5,0.7778
966,23,12,9,2,0.5714
967,24,15,5,4,0.7500
968,26,15,6,5,0.7143
969,33,18,12,3,0.6000
970,27,15,4,8,0.7895
971,26,18,4,4,0.8182
972,16,11,2,3,0.8462
973,19,10,5,4,0.6667
974,22,13,6,3,0.6842
975,24,15,7,2,0.6818
976,20,8,7,5,0.5333
977,27,17,6,4,0.7391
978,29,18,6,5,0.7500
979,23,14,2,7,0.8750
980,26,12,9,5,0.5714
981,27,12,8,7,0.6000
982,20,15,3,2,0.8333
983,25,13,7,5,0.6500
984,23,11,8,4,0.5789
985,25,13,6,6,0.6842
986,23,18,4,1,0.8182
987,34,17,4,13,0.8095
988,22,10,7,5,0.5882
989,20,8,9,3,0.4706
990,30,19,8,3,0.7037
991,25,14,9,2,0.6087
992,26,17,9,0,0.6538
993,31,19,9,3,0.6786
994,22,16,3,3,0.8421
995,26,13,10,3,0.5652
996,29,16,8,5,0.6667
997,28,15,6,7,0.7143
998,25,14,6,5,0.7000
999,34,17,8,9,0.6800
1000,25,14,4,7,0.7778
