Run,RT,Male,Female,None,Pct
212,23,13,3,7,0.8125
213,26,13,7,6,0.6500
214,21,17,3,1,0.8500
215,28,18,6,4,0.7500
216,28,18,7,3,0.7200
217,23,12,5,6,0.7059
218,22,11,5,6,0.6875
219,25,17,5,3,0.7727
220,21,11,7,3,0.6111
221,30,19,7,4,0.7308
222,25,18,4,3,0.8182
223,20,9,6,5,0.6000
224,28,17,5,6,0.7727
225,26,14,8,4,0.6364
226,28,19,6,3,0.7600
227,21,8,10,3,0.4444
228,32,16,6,10,0.7273
229,24,14,3,7,0.8235
230,18,6,4,8,0.6000
231,20,10,6,4,0.6250
232,16,11,3,2,0.7857
233,30,20,7,3,0.7407
234,26,14,6,6,0.7000
235,32,19,5,8,0.7917
236,25,18,7,0,0.7200
237,20,10,7,3,0.5882
238,26,11,6,9,0.6471
239,27,20,4,3,0.8333
240,25,11,9,5,0.5500
241,22,11,4,7,0.7333
242,22,13,4,5,0.7647
243,30,12,8,10,0.6000
244,25,13,7,5,0.6500
245,26,19,6,1,0.7600
246,19,12,5,2,0.7059
247,24,11,7,6,0.6111
248,23,13,5,5,0.7222
249,26,16,6,4,0.7273
250,25,14,7,4,0.6667
251,31,11,11,9,0.5000
252,20,15,1,4,0.9375
253,27,16,6,5,0.7273
254,27,19,4,4,0.8261
255,25,17,5,3,0.7727
256,26,12,10,4,0.5455
257,21,11,8,2,0.5789
258,27,12,10,5,0.5455
259,21,13,6,2,0.6842
260,28,15,6,7,0.7143
261,23,14,6,3,0.7000
262,18,11,5,2,0.6875
263,20,6,9,5,0.4000
264,28,14,8,6,0.6364
265,23,11,8,4,0.5789
266,23,16,3,4,0.8421
267,35,18,10,7,0.6429
268,23,13,7,3,0.6500
269,30,17,6,7,0.7391
270,20,13,4,3,0.7647
271,21,15,2,4,0.8824
272,20,12,6,2,0.6667
273,24,14,6,4,0.7000
274,25,16,5,4,0.7619
275,26,13,7,6,0.6500
276,22,16,5,1,0.7619
277,29,17,8,4,0.6800
278,23,16,4,3,0.8000
279,20,8,8,4,0.5000
280,25,17,3,5,0.8500
281,22,12,7,3,0.6316
282,33,23,6,4,0.7931
283,25,15,6,4,0.7143
284,22,12,5,5,0.7059
285,28,15,8,5,0.6522
286,28,15,11,2,0.5769
287,23,12,8,3,0.6000
288,28,15,8,5,0.6522
289,21,13,6,2,0.6842
290,35,18,10,7,0.6429
291,27,11,13,3,0.4583
292,24,12,10,2,0.5455
293,24,17,5,2,0.7727
294,26,16,5,5,0.7619
295,28,17,8,3,0.6800
296,26,10,9,7,0.5263
297,19,8,6,5,0.5714
298,26,15,6,5,0.7143
299,33,16,6,11,0.7273
300,21,16,4,1,0.8000
301,21,12,3,6,0.8000
302,27,23,2,2,0.9200
303,30,18,6,6,0.7500
304,18,10,1,7,0.9091
305,26,20,4,2,0.8333
306,31,15,9,7,0.6250
307,26,12,13,1,0.4800
308,22,12,6,4,0.6667
309,27,18,8,1,0.6923
310,22,13,2,7,0.8667
311,31,20,6,5,0.7692
312,26,14,8,4,0.6364
313,21,11,9,1,0.5500
314,28,19,3,6,0.8636
315,23,11,7,5,0.6111
316,26,13,5,8,0.7222
317,27,15,3,9,0.8333
318,25,12,9,4,0.5714
319,29,17,5,7,0.7727
320,21,12,6,3,0.6667
321,22,16,5,1,0.7619
322,20,12,5,3,0.7059
323,19,9,5,5,0.6429
324,16,10,1,5,0.9091
325,26,10,8,8,0.5556
