Offset,Date,RT,Male,Female,None,Pct
46627,2014-04-17,36,22,10,4,0.6875
46682,2014-04-18,31,21,7,3,0.7500
46798,2014-04-19,29,15,8,6,0.6522
46820,2014-04-20,31,16,8,7,0.6667
46853,2014-04-21,33,20,6,7,0.7692
47015,2014-04-22,39,21,8,10,0.7241
47128,2014-04-23,27,18,6,3,0.7500
47224,2014-04-24,41,27,10,4,0.7297
47338,2014-04-25,40,23,14,3,0.6216
47447,2014-04-26,34,19,8,7,0.7037
47463,2014-04-27,28,15,8,5,0.6522
47481,2014-04-28,32,18,11,3,0.6207
47618,2014-04-29,35,21,11,3,0.6562
47824,2014-04-30,38,23,12,3,0.6571
47941,2014-05-01,44,29,12,3,0.7073
48003,2014-05-02,32,15,12,5,0.5556
48095,2014-05-03,20,12,6,2,0.6667
48121,2014-05-04,20,14,5,1,0.7368
48181,2014-05-05,28,16,7,5,0.6957
48305,2014-05-06,36,20,11,5,0.6452
48428,2014-05-07,31,18,8,5,0.6923
48514,2014-05-08,28,18,3,7,0.8571
48592,2014-05-09,26,8,8,10,0.5000
48689,2014-05-10,19,11,5,3,0.6875
48716,2014-05-11,17,11,5,1,0.6875
48763,2014-05-12,24,16,6,2,0.7273
48886,2014-05-13,28,17,11,0,0.6071
49003,2014-05-14,32,17,9,6,0.6538
49084,2014-05-15,26,16,6,4,0.7273
49230,2014-05-16,23,15,7,1,0.6818
49343,2014-05-17,25,20,3,2,0.8696
49422,2014-05-18,34,25,6,3,0.8065
49462,2014-05-19,31,24,5,2,0.8276
49560,2014-05-20,24,16,6,2,0.7273
49730,2014-05-21,38,20,11,7,0.6452
49800,2014-05-22,23,14,5,4,0.7368
