Num,RT,Male,Female,None,Pct
15800,4685,2600,1421,664,0.6466
15900,4704,2610,1427,667,0.6465
16000,4737,2625,1437,675,0.6462
16100,4771,2650,1442,679,0.6476
16200,4800,2664,1453,683,0.6471
16300,4830,2675,1466,689,0.6460
16400,4844,2681,1470,693,0.6459
16500,4872,2694,1481,697,0.6453
16600,4897,2706,1489,702,0.6451
16700,4923,2722,1495,706,0.6455
16800,4947,2730,1506,711,0.6445
16900,4963,2737,1512,714,0.6442
17000,4981,2749,1514,718,0.6449
17100,5005,2765,1518,722,0.6456
17200,5044,2796,1524,724,0.6472
17300,5067,2810,1529,728,0.6476
17400,5098,2825,1542,731,0.6469
17500,5117,2840,1543,734,0.6480
17600,5139,2855,1547,737,0.6486
17700,5171,2866,1560,745,0.6475
17800,5188,2872,1568,748,0.6468
17900,5220,2891,1577,752,0.6470
18000,5234,2896,1581,757,0.6469
18100,5267,2909,1595,763,0.6459
18200,5280,2915,1601,764,0.6455
18300,5301,2928,1606,767,0.6458
18400,5326,2943,1612,771,0.6461
18500,5347,2955,1617,775,0.6463
18600,5365,2966,1623,776,0.6463
18700,5394,2983,1634,777,0.6461
18800,5419,2992,1645,782,0.6452
18900,5438,2997,1650,791,0.6449
19000,5465,3013,1657,795,0.6452
19100,5494,3027,1667,800,0.6449
19200,5528,3048,1673,807,0.6456
19300,5556,3065,1677,814,0.6464
19400,5582,3079,1685,818,0.6463
19500,5610,3098,1690,822,0.6470
19600,5632,3107,1701,824,0.6462
19700,5651,3119,1706,826,0.6464
19800,5678,3134,1712,832,0.6467
19900,5697,3142,1721,834,0.6461
20000,5722,3161,1723,838,0.6472
20100,5740,3173,1728,839,0.6474
20200,5765,3183,1737,845,0.6470
20300,5789,3197,1742,850,0.6473
20400,5823,3217,1754,852,0.6472
20500,5838,3228,1757,853,0.6475
20600,5868,3246,1764,858,0.6479
20700,5888,3252,1770,866,0.6476
20800,5917,3267,1777,873,0.6477
20900,5937,3280,1781,876,0.6481
21000,5955,3289,1788,878,0.6478
21100,5969,3297,1792,880,0.6479
21200,5985,3302,1796,887,0.6477
21300,6004,3311,1803,890,0.6474
21400,6016,3315,1808,893,0.6471
21500,6037,3330,1814,893,0.6474
21600,6062,3346,1821,895,0.6476
21700,6084,3360,1828,896,0.6476
21800,6104,3371,1836,897,0.6474
21900,6118,3379,1839,900,0.6476
22000,6142,3395,1843,904,0.6481
